Bin,Category,Sub-category,Part #,Description,Cost,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPF 102,"JFET, N-Channel, RF amplifier",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A05,"Transistor, NPN, Amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A06,"Transistor, NPN, Amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A13,"Transistor, NPN darlington",$0.20 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A20," Transistor, NPN amplifier",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A42,"Transistor, NPN high voltage amplifier",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A56,"Transistor, PNP amplifier",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A63,"Transistor, PNP darlington",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MPS A92,"Transistor, PNP high voltage amplifier",$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MTP 10N10E,"MOSFET, N-channel power",$1.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MTP 12N10E,"MOSFET, N-channel power",$2.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,MTP3055,"MOSFET, N-Channel, Power",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,PN4356,"Transistor, PNP, Amplifier",$0.60 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,SD214DE,"FET, N-channel DMOS",$2.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP29,"Transistor, NPN, Power, Compliment to TIP30",$0.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP30,"Transistor, PNP, Power, Compliment to TIP 29",$0.60 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP33C,"Transistor, NPN, Power, Compliment to TIP34C",$1.70 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP34C,"Transistor, PNP, Power, Compliment to TIP 33C",$1.70 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP110,"Transistor, NPN, Power Darlington",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP121,"Transistor, NPN, Power Darlington, Compliment to TIP126",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP122,"Transistor, NPN Power Darlington",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIP126,"Transistor, PNP, Power Darlington, Compliment to TIP121",$0.80 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,TIS 93,"Transistor, PNP, General Purpose",$0.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,U310,"JFET, N-channel, HF Amplifier",$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,HSINK,Heat Sink for TO-220 Type,$0.40 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF510,"MOSFET, N-Channel 100V, 5.6A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF520,"MOSFET, N-Channel 100V, 10A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF530,"MOSFET, N-Channel 100V, 14A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF540,"MOSFET, N-Channel 100V, 27A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF620,"MOSFET, N-Channel 200V, 6A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF630,"MOSFET, N-Channel 200V, 9A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF640,"MOSFET, N-Channel 200V, 18A",$1.00 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF9520,"MOSFET, P-Channel -100V, -6.8A",$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF9530,"MOSFET, P-Channel -100V",$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF9540,"MOSFET, P-Channel -100V, -11A",$2.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IRF9610,"MOSFET, P-Channel -200V, -2A",$2.30 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,HIP4086,"MOSFET N-Channel 80V, 500mA",$7.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,FQP27P06, MOSFET P-Channel 60V 27A TO-220,$1.50 ,,
,"Transistors (Bipolar, FETS, JFETS, MOSFETS, ect)",,IR2110,MOSFET N-Channel 500V,$3.50 ,,
,Voltage Regulators,,78L05,"Voltage regulator, +5V, 100mA",$0.40 ,,
,Voltage Regulators,,7805,"Voltage regulator, +5V, 1A",$0.60 ,,
,Voltage Regulators,,7808C,"Voltage regulator, +8V, 1.5A",$0.80 ,,
,Voltage Regulators,,78L12,"Voltage regulator, +12V, 100mA",$0.60 ,,
,Voltage Regulators,,7812CT,"Voltage regulator, +12V,1A",$1.80 ,,
,Voltage Regulators,,78L15,"Voltage regulator, +15V, 100mA",$0.60 ,,
,Voltage Regulators,,7815CT,"Voltage regulator, +15V, 1A",$1.80 ,,
,Voltage Regulators,,78L24,"Voltage regulator, +24V, 100mA",$0.60 ,,
,Voltage Regulators,,79L05,"Voltage regulator, -5V, 100mA",$0.40 ,,
,Voltage Regulators,,7905CT,"Voltage regulator, -5V, 1A",$2.00 ,,
,Voltage Regulators,,7906CT,"Voltage regulator, -6V, 1A",$1.00 ,,
,Voltage Regulators,,79L12,"Voltage regulator, -12V, 100mA",$0.70 ,,
,Voltage Regulators,,7912CT,"Voltage regulator, -12V, 1A",$2.00 ,,
,Voltage Regulators,,79L15,"Voltage regulator, -15V, 100mA",$0.60 ,,
,Voltage Regulators,,7915CT,"Voltage regulator, -15V, 1A",$2.00 ,,
,Voltage Regulators,,79L24,"Voltage regulator, -24V, 100mA",$0.60 ,,
,Voltage Regulators,,LM317T,"Voltage regulator, adjustable +1.2V to +37V",$0.60 ,,
,Voltage Regulators,,LM337T,"Voltage regulator, adjustable -1.2V to -37V",$1.00 ,,
,Voltage Regulators,,LM723,"Voltage regulator, precision +2V - +37V, 150mA",$0.70 ,,
,Voltage Regulators,,TL497,"Voltage regulator, switching 500mA",$3.00 ,,
,"SCR's, Triac's, Diac's, & Bridge Rectifiers",,2KBP08M,"Bridge rectifier, 2A",$1.00 ,,
,"SCR's, Triac's, Diac's, & Bridge Rectifiers",,2N6397,"SCR, 400v, 12A",$1.40 ,,
,"SCR's, Triac's, Diac's, & Bridge Rectifiers",,2N6402,"SCR, 200v, 16A",$2.20 ,,
,"SCR's, Triac's, Diac's, & Bridge Rectifiers",,HT-32,"Diac, 32v, 100mA",$0.60 ,,
,"SCR's, Triac's, Diac's, & Bridge Rectifiers",,Q2010L4,"Triac, 200v, 10A",$2.50 ,,
,Diodes Zener,,1N3002,"Zener diode, 75V, 10W",$2.00 ,,
,Diodes Zener,,1N3043,"Zener diode, 91V, 1W",$7.00 ,,
,Diodes Zener,,1N4728,"Zener diode, 3.3V",$0.30 ,,
,Diodes Zener,,1N4730,"Zener diode, 3.9V",$0.30 ,,
,Diodes Zener,,1N4731,"Zener diode, 4.3V",$0.30 ,,
,Diodes Zener,,1N4732,"Zener diode, 4.7V",$0.30 ,,
,Diodes Zener,,1N3733,"Zener diode, 5.1V",$0.30 ,,
,Diodes Zener,,1N4734,"Zener diode, 5.6V",$0.30 ,,
,Diodes Zener,,1N4735,"Zener diode, 6.2V",$0.30 ,,
,Diodes Zener,,1N4736,"Zener diode, 6.8V",$0.30 ,,
,Diodes Zener,,1N4737,"Zener diode, 7.5V",$0.30 ,,
,Diodes Zener,,1N4738,"Zener diode, 8.2V",$0.30 ,,
,Diodes Zener,,1N4739," Zener diode, 9.1V",$0.30 ,,
,Diodes Zener,,1N4740,"Zener diode, 10V",$0.30 ,,
,Diodes Zener,,1N4741,"Zener diode, 11V",$0.30 ,,
,Diodes Zener,,1N4742,"Zener diode, 12V",$0.30 ,,
,Diodes Zener,,1N4743,"Zener diode, 13V",$0.30 ,,
,Diodes Zener,,1N4744,"Zener diode, 15V",$0.30 ,,
,Diodes Zener,,1N4745,"Zener diode, 16V",$0.30 ,,
,Diodes Zener,,1N5240,"Zener diode, 10V",$0.30 ,,
,Diodes Zener,,1N6375,"Zener transient suppressor, 10V",$0.70 ,,
,Diodes Zener,,1N6376,"Zener transient suppressor, 12V",$0.70 ,,
,Diodes Zener,,P6KE15,"Zener transient suppressor, 15V",$0.70 ,,
,Diodes Zener,,P6KE24,"Zener transient suppressor, 24V",$0.40 ,,
,Diodes Zener,,P6KE120,"Zener transient suppressor, 120V",$0.70 ,,
,Diodes,,1N34A,"Diode, Germanium",$0.50 ,,
,Diodes,,1N270,"Diode, Germanium",$0.50 ,,
,Diodes,,1N914,"Diode, Switching",$0.20 ,,
,Diodes,,1N4003,"Diode, Rectifier, 200V 1A",$0.20 ,,
,Diodes,,1N4004,"Diode, Rectifier, 300V 1A",$0.20 ,,
,Diodes,,1N4007,"Diode, Rectifier, 1kV 1A",$0.20 ,,
,Diodes,,1N4148,"Diode, Switching",$0.20 ,,
,Diodes,,1N5819,"Diode, Schottky Rectifier",$0.30 ,,
,Diodes,,MR754,"Diode, Rectifier, 400V, 6A",$1.00 ,,
,Diodes,,MR852,"Diode, Rectifier Fast Recovery 200V, 3A",$0.50 ,,
,Diodes,,MUR160,"Diode, Rectifier 600V, 1A",$0.50 ,,
,Diodes,,MUR420,"Diode, Power Rectifier, 4A 600V",$0.80 ,,
,Diodes,,MUR860," Diode, Power Rectifier, 8A 600V",$0.90 ,,
,Diodes,,MV2107,"Varactor Diode, 19-24pF 30V 2A",$1.00 ,,
,Diodes,,SR105CT,Schottky Diode,$0.50 ,,
,LED's,,LEDA,"LED, amber",$0.20 ,,
,LED's,,LEDG,"LED, green",$0.20 ,,
,LED's,,LEDR,"LED, red,",$0.20 ,,
,LED's,,LEDY,"LED, yellow",$0.20 ,,
,LED's,,LEDCB,"LED, blue clear package",$1.00 ,,
,LED's,,LEDCR,"LED, red clear package",$1.00 ,,
,LED's,,LEDCY,"LED, yellow clear package",$0.60 ,,
,LED's,,LEDRS,"LED, red small",$0.20 ,,
,LED's,,LEDYS,"LED, yellow small",$0.20 ,,
,LED's,,LEDGS,"LED, green small",$0.20 ,,
,LED's,,LEDIR,"LED, Infrared, 100mW 50mA",$0.60 ,,
,LED's,,LED2R,"LED,dual color red/green",$0.40 ,,
,LED's,,LED2O,"LED,dual color orange/green",$0.40 ,,
,LED's,,LED2Y,"LED,dual color yellow/green",$0.40 ,,
,LED's,,LEDBAR,"LED, 10 segment bar graph",$1.60 ,,
,LED's,,LEDMATRIX,"LED, 8x8 Display, Red/Green",$6.00 ,,
,LED's,,MAN72,"LED 7 red, segment display, common anode",$1.00 ,,
,LED's,,MAN74,"LED 7 red, segment display, common cathode",$1.00 ,,
,LED's,,MAN6550,"LED 7 green segment overflow (+1), common cathode",$1.00 ,,
,Opto-electronics,,HCPL2601,"Optocoupler, high CMR, high speed Ic25mA",$1.60 ,,
,Opto-electronics,,MCA230,"Optoisolator, Photo-darlington",$1.70 ,,
,Opto-electronics,,MCS2400,"Optoisolator, Photo-SCR",$2.20 ,,
,Opto-electronics,,MOC3011,"Optoisolator, Triac driver",$1.00 ,,
,Opto-electronics,,MOC3031,"Optoisolator, Triac, 0 volt crossing",$2.50 ,,
,Opto-electronics,,OP999,PhotoDiode,$1.20 ,,
,Opto-electronics,,QSC112QT,IR PhotoTransistor,$0.60 ,,
,Opto-electronics,,TIL111,"Optoisolator, Photo-transistor",$0.60 ,,
,Opto-electronics,,TSL215,Integrated Optosensor,$12.00 ,,
,Opto-electronics,,VT83,"Photoconductor, Cds",$1.00 ,,
,Opto-electronics,,VT301,"Photoconductor, Cds",$1.00 ,,
,Opto-electronics,,VT935G,"Photoconductor, Cds",$1.00 ,,
,Switches,,SWDIP2,"DIP switch, 2 position rocker",$1.00 ,,
,Switches,,SWDIP3,"DIP switch, 3 position rocker",$1.00 ,,
,Switches,,SWDIP4,"DIP switch, 4 position rocker",$1.00 ,,
,Switches,,SWDIP5,"DIP switch, 5 position rocker",$1.00 ,,
,Switches,,SWDIP6,"DIP switch, 6 position rocker",$1.20 ,,
,Switches,,SWDIP7,"DIP switch, 7 position rocker",$1.60 ,,
,Switches,,SWDIP8,"DIP switch, 8 position rocker",$1.20 ,,
,Switches,,SWPB1,"Pushbutton Switch, Momentary, small, Fits Breadboard",$0.30 ,,
,Switches,,SWPB2,"Pushbutton Switch, Momentary, Large, Fits Breadboard",$0.60 ,,
,Switches,,SWSL1,"Slide Switch, SPDT, Miniature, Fits Breadboard",$1.10 ,,
,Switches,,SWSL2,"Slide Switch, SPDT",$0.40 ,,
,Switches,,SWSL3,"Slide Switch, DPDT",$0.50 ,,
,Switches,,SWTG1," Toggle Switch, Miniature, SPDT",$1.30 ,,
,Switches,,SWTG3,"Toggle Switch, Miniature, DPDT, Momentary",$1.50 ,,
,Switches,,SWTG4,"Toggle Switch, Miniature, DPDT, Momentary, Center OFF",$2.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BATAA,"AA Battery, 1.5v, Alkaline",$1.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BATAAA,"AAA Battery, 1.5v, Alkaline",$1.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BAT9V,"9v Battery, Alkaline",$2.50 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BATCLIP,"9v Battery Clip with 6"" leads",$0.40 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BATHDR,4 x AA Battery Holder,$1.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BBS,"Breadboard, Small, 830 tie points",$7.50 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BBSK,"Breadboard,Small,  830 tie points with 90 piece jumperwire kit",$10.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,BBL,"Breadboard,Large, 2420 point w/4 binding posts",$25.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,PROTO,"Prototyping Board, With Copper Tracks for soldering",$4.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,RKIT,"Resistor Kit, 365 pieces",$6.50 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,STRIP,"Wire Strippers, 7 in 1 Hand Tool",$5.30 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,TAPE,"Electrical Tape, Black",$1.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,TOOL, Bare Bones Tool kit,$10.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,TXR,"9v DC, 100mA Wall Adapter",$6.00 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,WKIT,Jumper Wire Kit for Breadboards (Small),$6.50 ,,
,"Prototyping Supplies, Batteries, Tools, ect",,W22,Wire Hook Up 22 guage 25',$1.50 ,,
,Multimeters,,MAS345,Digital Multimeter,$55.00 ,,
,Multimeters,,MAS830,Digital Multimeter,$15.00 ,,
,Test Leads,,P1,"Oscilloscope Probe, 60 Mhz",$15.00 ,,
,Test Leads,,T1,Stackable banana to Stackable banana test lead,$5.00 ,,
,Test Leads,,T3,BNC to Two Minigrabber Test Lead,$5.00 ,,
,Test Leads,,T5,"Alligator Lead, Set of 10",$5.00 ,,
,Test Leads,,T12,Stackable banana to mini-grabber test lead,$5.00 ,,
,Office Supplies,,RCODE,Resistor Color Code Guide,$0.30 ,,
,Office Supplies,,CDR,Blank CDR,$0.70 ,,
